# 実Excel 16.0 の ★CommandBars（右クリックの メニュー ほか）★ 2026-08-30
# 取り方: Application.CommandBars を 全部 歩く（新規ブック・保存なし・読むだけ）
# 列: バーの名前 / 親の道 / 命令 / Type / Id
Worksheet Menu Bar	/表示(V)/ツール バー(T)	ワードアート	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	外部データ	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	共有クエリ	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	罫線	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	最新の情報に更新	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	図	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	図形描画	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	読み上げ	1	761
Worksheet Menu Bar	/表示(V)/ツール バー(T)	保護	1	761
Worksheet Menu Bar	/表示(V)	数式バー(F)	1	849
Worksheet Menu Bar	/表示(V)	ステータス ​​バー(S)	1	850
Worksheet Menu Bar	/表示(V)	ヘッダーとフッター(H)...	1	762
Worksheet Menu Bar	/表示(V)	コメント​​(C)	1	1594
Worksheet Menu Bar	/表示(V)	ユーザー設定​​のビュー(V)...	1	950
Worksheet Menu Bar	/表示(V)	全画面​​表示(U)	1	178
Worksheet Menu Bar	/表示(V)	ズーム​​(Z)...	1	925
Worksheet Menu Bar		挿入(I)	10	30005
Worksheet Menu Bar	/挿入(I)	セルの​​挿入(E)...	1	295
Worksheet Menu Bar	/挿入(I)	行(R)	1	296
Worksheet Menu Bar	/挿入(I)	列(C)	1	297
Worksheet Menu Bar	/挿入(I)	ワークシート​​(W)	1	852
Worksheet Menu Bar	/挿入(I)	グラフ(H)...	1	1957
Worksheet Menu Bar	/挿入(I)	記号と​​特殊文字(S)...	1	308
Worksheet Menu Bar	/挿入(I)	改ページ​​(B)	1	509
Worksheet Menu Bar	/挿入(I)	すべての改ページ​​を解除(A)	1	1585
Worksheet Menu Bar	/挿入(I)	関数​​(F)...	1	385
Worksheet Menu Bar	/挿入(I)	名前(N)	10	30023
Worksheet Menu Bar	/挿入(I)/名前(N)	定義(D)...	1	878
Worksheet Menu Bar	/挿入(I)/名前(N)	貼り付け​​(P)...	1	879
Worksheet Menu Bar	/挿入(I)/名前(N)	作成​​(C)...	1	880
Worksheet Menu Bar	/挿入(I)/名前(N)	引用​​(A)...	1	881
Worksheet Menu Bar	/挿入(I)	新しいコメント(M)	1	1589
Worksheet Menu Bar	/挿入(I)	インク注釈​​(A)	1	9071
Worksheet Menu Bar	/挿入(I)	図(P)	10	30180
Worksheet Menu Bar	/挿入(I)/図(P)	オンライン​​画像(O)...	1	20868
Worksheet Menu Bar	/挿入(I)/図(P)	クリップ ​​アート(C)...	1	682
